tag.fwd,tag.rev,row,col,well
ITS1-0001_For,LR5-0013_Rev,8,1,H1
ITS1-0001_For,LR5-0014_Rev,7,1,G1
ITS1-0001_For,LR5-0015_Rev,6,1,F1
ITS1-0001_For,LR5-0016_Rev,5,1,E1
ITS1-0001_For,LR5-0017_Rev,4,1,D1
ITS1-0001_For,LR5-0018_Rev,3,1,C1
ITS1-0001_For,LR5-0019_Rev,2,1,B1
ITS1-0001_For,LR5-0020_Rev,1,1,A1
ITS1-0002_For,LR5-0013_Rev,8,2,H2
ITS1-0002_For,LR5-0014_Rev,7,2,G2
ITS1-0002_For,LR5-0015_Rev,6,2,F2
ITS1-0002_For,LR5-0016_Rev,5,2,E2
ITS1-0002_For,LR5-0017_Rev,4,2,D2
ITS1-0002_For,LR5-0018_Rev,3,2,C2
ITS1-0002_For,LR5-0019_Rev,2,2,B2
ITS1-0002_For,LR5-0020_Rev,1,2,A2
ITS1-0003_For,LR5-0013_Rev,8,3,H3
ITS1-0003_For,LR5-0014_Rev,7,3,G3
ITS1-0003_For,LR5-0015_Rev,6,3,F3
ITS1-0003_For,LR5-0016_Rev,5,3,E3
ITS1-0003_For,LR5-0017_Rev,4,3,D3
ITS1-0003_For,LR5-0018_Rev,3,3,C3
ITS1-0003_For,LR5-0019_Rev,2,3,B3
ITS1-0003_For,LR5-0020_Rev,1,3,A3
ITS1-0004_For,LR5-0013_Rev,8,4,H4
ITS1-0004_For,LR5-0014_Rev,7,4,G4
ITS1-0004_For,LR5-0015_Rev,6,4,F4
ITS1-0004_For,LR5-0016_Rev,5,4,E4
ITS1-0004_For,LR5-0017_Rev,4,4,D4
ITS1-0004_For,LR5-0018_Rev,3,4,C4
ITS1-0004_For,LR5-0019_Rev,2,4,B4
ITS1-0004_For,LR5-0020_Rev,1,4,A4
ITS1-0005_For,LR5-0013_Rev,8,5,H5
ITS1-0005_For,LR5-0014_Rev,7,5,G5
ITS1-0005_For,LR5-0015_Rev,6,5,F5
ITS1-0005_For,LR5-0016_Rev,5,5,E5
ITS1-0005_For,LR5-0017_Rev,4,5,D5
ITS1-0005_For,LR5-0018_Rev,3,5,C5
ITS1-0005_For,LR5-0019_Rev,2,5,B5
ITS1-0005_For,LR5-0020_Rev,1,5,A5
ITS1-0006_For,LR5-0013_Rev,8,6,H6
ITS1-0006_For,LR5-0014_Rev,7,6,G6
ITS1-0006_For,LR5-0015_Rev,6,6,F6
ITS1-0006_For,LR5-0016_Rev,5,6,E6
ITS1-0006_For,LR5-0017_Rev,4,6,D6
ITS1-0006_For,LR5-0018_Rev,3,6,C6
ITS1-0006_For,LR5-0019_Rev,2,6,B6
ITS1-0006_For,LR5-0020_Rev,1,6,A6
ITS1-0007_For,LR5-0013_Rev,8,7,H7
ITS1-0007_For,LR5-0014_Rev,7,7,G7
ITS1-0007_For,LR5-0015_Rev,6,7,F7
ITS1-0007_For,LR5-0016_Rev,5,7,E7
ITS1-0007_For,LR5-0017_Rev,4,7,D7
ITS1-0007_For,LR5-0018_Rev,3,7,C7
ITS1-0007_For,LR5-0019_Rev,2,7,B7
ITS1-0007_For,LR5-0020_Rev,1,7,A7
ITS1-0008_For,LR5-0013_Rev,8,8,H8
ITS1-0008_For,LR5-0014_Rev,7,8,G8
ITS1-0008_For,LR5-0015_Rev,6,8,F8
ITS1-0008_For,LR5-0016_Rev,5,8,E8
ITS1-0008_For,LR5-0017_Rev,4,8,D8
ITS1-0008_For,LR5-0018_Rev,3,8,C8
ITS1-0008_For,LR5-0019_Rev,2,8,B8
ITS1-0008_For,LR5-0020_Rev,1,8,A8
ITS1-0009_For,LR5-0013_Rev,8,9,H9
ITS1-0009_For,LR5-0014_Rev,7,9,G9
ITS1-0009_For,LR5-0015_Rev,6,9,F9
ITS1-0009_For,LR5-0016_Rev,5,9,E9
ITS1-0009_For,LR5-0017_Rev,4,9,D9
ITS1-0009_For,LR5-0018_Rev,3,9,C9
ITS1-0009_For,LR5-0019_Rev,2,9,B9
ITS1-0009_For,LR5-0020_Rev,1,9,A9
ITS1-0010_For,LR5-0013_Rev,8,10,H10
ITS1-0010_For,LR5-0014_Rev,7,10,G10
ITS1-0010_For,LR5-0015_Rev,6,10,F10
ITS1-0010_For,LR5-0016_Rev,5,10,E10
ITS1-0010_For,LR5-0017_Rev,4,10,D10
ITS1-0010_For,LR5-0018_Rev,3,10,C10
ITS1-0010_For,LR5-0019_Rev,2,10,B10
ITS1-0010_For,LR5-0020_Rev,1,10,A10
ITS1-0011_For,LR5-0013_Rev,8,11,H11
ITS1-0011_For,LR5-0014_Rev,7,11,G11
ITS1-0011_For,LR5-0015_Rev,6,11,F11
ITS1-0011_For,LR5-0016_Rev,5,11,E11
ITS1-0011_For,LR5-0017_Rev,4,11,D11
ITS1-0011_For,LR5-0018_Rev,3,11,C11
ITS1-0011_For,LR5-0019_Rev,2,11,B11
ITS1-0011_For,LR5-0020_Rev,1,11,A11
ITS1-0012_For,LR5-0013_Rev,8,12,H12
ITS1-0012_For,LR5-0014_Rev,7,12,G12
ITS1-0012_For,LR5-0015_Rev,6,12,F12
ITS1-0012_For,LR5-0016_Rev,5,12,E12
ITS1-0012_For,LR5-0017_Rev,4,12,D12
ITS1-0012_For,LR5-0018_Rev,3,12,C12
ITS1-0012_For,LR5-0019_Rev,2,12,B12
ITS1-0012_For,LR5-0020_Rev,1,12,A12
