well,tag_fwd,row,col
H1,gITS7mod-23,8,1
G1,gITS7mod-31,7,1
F1,gITS7mod-73,6,1
E1,gITS7mod-42,5,1
D1,gITS7mod-50,4,1
C1,gITS7mod-25,3,1
B1,gITS7mod-22,2,1
A1,gITS7mod-64,1,1
H2,gITS7mod-36,8,2
G2,gITS7mod-52,7,2
F2,gITS7mod-17,6,2
E2,gITS7mod-59,5,2
D2,gITS7mod-57,4,2
C2,gITS7mod-66,3,2
B2,gITS7mod-46,2,2
A2,gITS7mod-41,1,2
H3,gITS7mod-76,8,3
G3,gITS7mod-3,7,3
F3,gITS7mod-91,6,3
E3,gITS7mod-5,5,3
D3,gITS7mod-87,4,3
C3,gITS7mod-49,3,3
B3,gITS7mod-7,2,3
A3,gITS7mod-9,1,3
H4,gITS7mod-60,8,4
G4,gITS7mod-94,7,4
F4,gITS7mod-1,6,4
E4,gITS7mod-88,5,4
D4,gITS7mod-78,4,4
C4,gITS7mod-47,3,4
B4,gITS7mod-63,2,4
A4,gITS7mod-4,1,4
H5,gITS7mod-18,8,5
G5,gITS7mod-26,7,5
F5,gITS7mod-29,6,5
E5,gITS7mod-90,5,5
D5,gITS7mod-15,4,5
C5,gITS7mod-84,3,5
B5,gITS7mod-8,2,5
A5,gITS7mod-39,1,5
H6,gITS7mod-44,8,6
G6,gITS7mod-54,7,6
F6,gITS7mod-79,6,6
E6,gITS7mod-27,5,6
D6,gITS7mod-67,4,6
C6,gITS7mod-12,3,6
B6,gITS7mod-58,2,6
A6,gITS7mod-34,1,6
H7,gITS7mod-70,8,7
G7,gITS7mod-68,7,7
F7,gITS7mod-35,6,7
E7,gITS7mod-89,5,7
D7,gITS7mod-37,4,7
C7,gITS7mod-32,3,7
B7,gITS7mod-55,2,7
A7,gITS7mod-51,1,7
H8,gITS7mod-77,8,8
G8,gITS7mod-19,7,8
F8,gITS7mod-81,6,8
E8,gITS7mod-20,5,8
D8,gITS7mod-65,4,8
C8,gITS7mod-30,3,8
B8,gITS7mod-80,2,8
A8,gITS7mod-96,1,8
H9,gITS7mod-62,8,9
G9,gITS7mod-86,7,9
F9,gITS7mod-92,6,9
E9,gITS7mod-43,5,9
D9,gITS7mod-48,4,9
C9,gITS7mod-69,3,9
B9,gITS7mod-24,2,9
A9,gITS7mod-71,1,9
H10,gITS7mod-83,8,10
G10,gITS7mod-28,7,10
F10,gITS7mod-40,6,10
E10,gITS7mod-75,5,10
D10,gITS7mod-82,4,10
C10,gITS7mod-2,3,10
B10,gITS7mod-16,2,10
A10,gITS7mod-6,1,10
H11,gITS7mod-10,8,11
G11,gITS7mod-53,7,11
F11,gITS7mod-72,6,11
E11,gITS7mod-38,5,11
D11,gITS7mod-85,4,11
C11,gITS7mod-74,3,11
B11,gITS7mod-61,2,11
A11,gITS7mod-56,1,11
H12,gITS7mod-93,8,12
G12,gITS7mod-33,7,12
F12,gITS7mod-14,6,12
E12,gITS7mod-13,5,12
D12,gITS7mod-11,4,12
C12,gITS7mod-21,3,12
B12,gITS7mod-45,2,12
A12,gITS7mod-95,1,12
