region,range,region_start,region_end,max_ee,min_length,max_length,min_length_post,max_length_post,reference
ITS1,,ITS1,ITS1,3,50,500,,,
ITS2,,ITS2,ITS2,3,50,500,,,
LSU,,LSU1,LSU4,3,500,2999,,,rdp_train.LSU
5_8S,,5_8S,5_8S,3,50,200,,,
32S,,5_8S,LSU4,3,600,2999,,,
short,,full,full,3,50,2999,,,
long,,full,full,3,500,2999,,,
ITS,,ITS1,ITS2,3,100,1500,,,"unite.ITS,warcup.ITS"
LSU1,,LSU1,LSU1,3,50,200,,,
D1,,V2,V2,3,20,500,,,
LSU2,,LSU2,LSU2,3,50,500,,,
D2,,V3,V3,3,20,2999,,,
LSU3,,LSU3,LSU3,3,30,60,,,
D3,,V4,V4,3,50,500,,,
LSU4,,LSU4,LSU4,3,50,500,,,
