Length	#Filtered	#RawReads
25	0	2089
26	0	2137
27	0	4102
28	0	7554
29	0	5654
30	0	2368
31	0	919
32	0	666
33	0	753
34	0	1206
35	0	1940
36	0	2723
37	0	3478
38	0	4431
39	0	4890
40	0	4884
41	0	4883
42	0	5149
43	0	4779
44	0	4634
45	0	4397
46	0	3589
47	0	3355
48	0	3623
49	0	4201
50	0	4699
51	0	16552
52	0	13539
53	0	10700
54	0	5783
55	0	5063
56	0	5706
57	0	12661
58	0	66361
59	0	49091
60	0	42199
61	0	7547
62	0	4872
63	0	3936
64	0	3645
65	0	6039
66	0	2888
67	0	2502
68	0	2408
69	0	2238
70	0	2156
71	0	2201
72	0	2346
73	0	2165
74	0	2414
75	0	2518
76	0	4128
77	0	5117
78	0	3294
79	0	2993
80	0	2582
81	0	2488
82	0	2574
83	0	2877
84	0	4101
85	0	6689
86	0	3000
87	0	3027
88	0	2932
89	0	3649
90	0	3301
91	0	3541
92	0	3803
93	0	4491
94	0	4964
95	0	5056
96	0	6064
97	0	7466
98	0	6608
99	0	6861
100	0	7359
101	0	7481
102	0	7709
103	0	9668
104	0	8189
105	0	7566
106	0	8845
107	0	8708
108	0	9221
109	0	9335
110	0	9225
111	0	9743
112	0	9573
113	0	9802
114	0	13697
115	0	10574
116	0	8754
117	0	8367
118	0	7897
119	0	7912
120	0	7943
121	0	8029
122	0	8274
123	0	8369
124	0	8581
125	0	8785
126	0	9334
127	0	13285
128	0	10250
129	0	10999
130	0	9861
131	0	9844
132	0	9869
133	0	9896
134	0	9853
135	0	10300
136	0	9887
137	0	10053
138	0	10150
139	0	10357
140	0	10573
141	0	11024
142	0	11035
143	0	11117
144	0	11148
145	0	11029
146	0	11296
147	0	11924
148	0	12071
149	0	12288
150	0	12712
151	0	12747
152	0	13901
153	0	13836
154	0	13371
155	0	12132
156	0	11158
157	0	11356
158	0	11243
159	0	12084
160	0	11846
161	0	11746
162	0	12320
163	0	12885
164	0	13446
165	0	13137
166	0	13349
167	0	13081
168	0	14058
169	0	15318
170	0	18048
171	0	21311
172	0	18945
173	0	17599
174	0	16500
175	0	17408
176	0	20523
177	0	26144
178	0	35962
179	0	46841
180	0	53470
181	0	38922
182	0	24163
183	0	14411
184	0	11198
185	0	9991
186	0	9229
187	0	8859
188	0	8811
189	0	8973
190	0	9252
191	0	9153
192	0	9404
193	0	9832
194	0	10285
195	0	10519
196	0	10015
197	0	10222
198	0	10817
199	0	11947
200	0	12956
201	0	13760
202	0	14550
203	0	14311
204	0	14786
205	0	14909
206	0	14444
207	0	13750
208	0	13137
209	0	12891
210	0	13070
211	0	13506
212	0	13712
213	0	14723
214	0	15704
215	0	15842
216	0	16018
217	0	15719
218	0	16091
219	0	16324
220	0	16713
221	0	17094
222	0	17737
223	0	18872
224	0	19165
225	0	19894
226	0	20458
227	0	20665
228	0	21247
229	0	21738
230	0	22969
231	0	24709
232	0	26335
233	0	26488
234	0	26217
235	0	26111
236	0	25946
237	0	26089
238	0	25981
239	0	26443
240	0	28004
241	0	28690
242	0	29519
243	0	29983
244	0	30550
245	0	29549
246	0	29441
247	0	29310
248	0	29127
249	0	27556
250	30572	25172
251	31558	24271
252	34903	23443
253	32816	23191
254	32978	23240
255	41854	23330
256	51880	23055
257	34720	22462
258	35968	21722
259	33886	21823
260	63381	22115
261	84318	22557
262	96285	22521
263	155277	22542
264	203823	22757
265	316375	22858
266	257561	24407
267	221642	23548
268	271357	24668
269	373114	23824
270	336799	23754
271	715059	22996
272	270548	23002
273	222782	24290
274	346217	24117
275	290752	24746
276	137302	25508
277	224238	27618
278	261538	29173
279	254854	28776
280	207145	29009
281	320920	29907
282	198804	32404
283	159752	33376
284	191369	35739
285	253292	36099
286	204407	36264
287	146396	41962
288	105401	54200
289	80039	42238
290	78998	37573
291	99108	36303
292	195325	54527
293	135170	68820
294	99293	106689
295	106555	134194
296	339100	178218
297	81644	242928
298	51538	296637
299	51299	245051
300	40830	263947
301	44283	329379
302	42038	370115
303	61558	530207
304	104145	431728
305	431869	377775
306	249099	329646
307	141218	281504
308	191729	211386
309	215489	255434
310	164499	249113
311	128914	243916
312	173642	226805
313	145133	305433
314	74226	219996
315	54759	224110
316	53867	210123
317	401892	204352
318	83548	256269
319	75974	179430
320	71925	131362
321	67673	114131
322	45382	95896
323	67727	95931
324	44508	125376
325	117372	159732
326	97632	146085
327	55384	132933
328	99033	190246
329	70350	163226
330	57233	167017
331	81785	70979
332	319219	52444
333	135096	44433
334	116119	52909
335	135660	55671
336	70814	91101
337	40168	274420
338	30327	297075
339	34730	233873
340	46992	178521
341	57282	240667
342	33679	155194
343	36505	145997
344	59489	120481
345	59823	192191
346	84603	131240
347	163016	102508
348	93461	71074
349	115789	74340
350	158312	404129
351	154416	104405
352	121523	80394
353	51990	82196
354	32280	67705
355	23489	74238
356	18600	50834
357	20809	100149
358	29315	112068
359	65874	68081
360	109354	75017
361	67625	68206
362	42324	87884
363	37351	98588
364	51378	301874
365	80174	117360
366	165902	120166
367	158852	133953
368	86844	119442
369	42029	66215
370	22053	40973
371	15263	37120
372	13077	43759
373	17423	52261
374	58901	45212
375	32168	43497
376	19154	55964
377	17980	58957
378	19663	88468
379	33365	145059
380	125511	104841
381	69818	124241
382	26337	106608
383	13827	156319
384	8230	146833
385	6464	91334
386	4571	71266
387	4442	40441
388	6084	27489
389	15655	26786
390	10874	34654
391	5941	64095
392	3524	104817
393	2721	107422
394	2974	85053
395	4549	65819
396	6009	55845
397	4811	59794
398	2727	87977
399	1763	138486
400	1329	168897
401	1137	108449
402	1221	55217
403	1128	30967
404	1083	22042
405	1080	24437
406	1037	63628
407	1088	35457
408	1014	21324
409	929	18144
410	720	20991
411	659	28718
412	557	79355
413	421	98816
414	370	52055
415	334	24453
416	440	13339
417	388	9355
418	385	6549
419	376	5870
420	369	6717
421	292	14332
422	297	13611
423	304	8487
424	333	5189
425	322	3620
426	272	3060
427	209	2797
428	169	3350
429	178	5166
430	167	6401
431	145	4877
432	174	3041
433	164	2165
434	178	1871
435	202	1756
436	187	1511
