OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus
OTU_3	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium pimiteouiense
OTU_5	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_6	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_7	Fungi	Basidiomycota	?	?	?	?	?
OTU_8	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma verrucosum
OTU_9	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula congoana
OTU_10	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_11	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula sp
OTU_13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	Nectriaceae sp
OTU_14	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	Clavulina sp
OTU_15	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus volemoides
OTU_16	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_17	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	?	?
OTU_18	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma guilliermondii
OTU_19	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma dictyosporum
OTU_20	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	unidentified	Chaetomiaceae sp
OTU_21	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_22	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_23	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	Herpotrichiellaceae sp
OTU_24	Fungi	Basidiomycota	?	?	?	?	?
OTU_25	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_26	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita masasiensis
OTU_27	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	?
OTU_28	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces flavus
OTU_29	Fungi	Basidiomycota	Agaricomycetes	Russulales	?	?	?
OTU_30	Fungi	?	?	?	?	?	?
OTU_31	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_32	Fungi	Basidiomycota	Wallemiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	Geminibasidium sp
OTU_33	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina sp
OTU_34	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella afrostuposa
OTU_35	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	unidentified	Sordariaceae sp
OTU_36	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	unidentified	unidentified	Eurotiales sp
OTU_37	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	?	?	?
OTU_38	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	?	?
OTU_39	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_40	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella brunneocystidia
OTU_41	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_42	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina sp
OTU_43	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus pseudodeflectus
OTU_44	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_45	Fungi	Ascomycota	Dothideomycetes	Pleosporales	?	?	?
OTU_46	Fungi	Basidiomycota	?	?	?	?	?
OTU_47	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_48	Fungi	Basidiomycota	?	?	?	?	?
OTU_50	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_51	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Calonectria	?
OTU_52	Fungi	?	?	?	?	?	?
OTU_53	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	Dothideomycetes sp
OTU_54	Fungi	Basidiomycota	?	?	?	?	?
OTU_55	Fungi	Basidiomycota	Agaricomycetes	Russulales	?	?	?
OTU_56	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma verrucosum
OTU_57	Fungi	?	?	?	?	?	?
OTU_58	Fungi	Ascomycota	?	?	?	?	?
OTU_59	Fungi	?	?	?	?	?	?
OTU_60	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_61	Fungi	?	?	?	?	?	?
OTU_62	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_63	Fungi	Ascomycota	?	?	?	?	?
OTU_64	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus volemoides
OTU_65	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	Cladosporium sphaerospermum
OTU_66	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	?	?
OTU_67	Fungi	?	?	?	?	?	?
OTU_68	Fungi	Basidiomycota	Incertae sedis	Malasseziales	Incertae sedis	Malassezia	Malassezia restricta
OTU_69	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_70	Fungi	?	?	?	?	?	?
OTU_71	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	Clavulina sp
OTU_72	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina sp
OTU_73	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_74	Fungi	?	?	?	?	?	?
OTU_75	Fungi	Ascomycota	?	?	?	?	?
OTU_76	Fungi	Basidiomycota	?	?	?	?	?
OTU_77	Fungi	?	?	?	?	?	?
OTU_78	Fungi	Ascomycota	?	?	?	?	?
OTU_79	Fungi	Ascomycota	?	?	?	?	?
OTU_80	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_81	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unidentified	Trichocomaceae sp
OTU_82	Fungi	Ascomycota	Sordariomycetes	Hypocreales	?	?	?
OTU_83	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_84	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium citrinum
OTU_85	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius sp
OTU_86	Fungi	Basidiomycota	?	?	?	?	?
OTU_87	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Incertae sedis	?	?
OTU_88	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium pinghaense
OTU_90	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus melleus
OTU_91	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus aculeatus
OTU_93	Fungi	?	?	?	?	?	?
OTU_95	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	Dothideomycetes sp
OTU_96	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_97	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
