Class	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;?;?	17092	1	14	15	11719	31314	6298	49644	2082	2402	1425	1554	5265	612	0	15	40035	7803	5994	19131	2063	2171	4362	2017	15151	64	7	387	12500	16569	5656	2948	2649	6704	234	4305	10117	61	17	80	5669	13419	4127	8905	3453	2665	3802	10	24466	187	206	1030	13577	3	6224	7683	8543	10039	2567	1401	26205	0	0	19	14652	3403	41590	5998	978	5903	549	4498	3124	0	5	0	15602	586	55212	24846	1925	2372	21	0	7465	37	0	0	38944	9264	883	1895	17270	3202	20	1092	0	5862	0	1124	0
Fungi;Ascomycota;?	2853	0	49	34	1897	18496	6407	30202	1782	4374	4032	1322	8920	103	0	5	5984	5045	11023	5777	6380	2458	10324	1401	16368	54	6	94	13578	6305	18879	4633	8791	3794	750	8928	51391	242	73	29	4205	54220	11968	28731	13120	7337	8147	14	62291	346	353	2967	12433	1	17275	13930	14079	16840	755	7473	8780	1	1	63	10223	9088	11218	4741	3900	10754	399	6739	2943	0	14	0	6581	2616	7907	31245	5231	8981	23	0	14401	78	2	0	13373	11515	4315	3044	14271	8288	26	1399	0	6645	0	1472	0
Fungi;Ascomycota;Archaeorhizomycetes	21	0	0	2	158	1129	0	1	35	40	747	1	109	11	0	3	14	1	2	1708	16	2	1	0	3	0	0	1	15	4	704	2	1	1225	4	5	2	0	0	0	30	121	26	911	8	862	237	0	598	3	0	73	32	0	284	3386	4	2498	0	2	21	0	0	7	1	9	11	256	603	838	30	2	0	0	0	0	0	2	620	132	1948	2	0	0	47	11	0	0	1	7	1	1	5004	731	1	116	0	41	0	262	0
Fungi;Ascomycota;Dothideomycetes	39053	0	45	33	3123	12694	7769	20825	7254	1367	12011	5527	6037	121	0	2	7399	12112	11839	29986	30964	5278	20190	3322	14664	357	4	179	3252	5682	22747	10280	39925	3423	1448	23727	8757	109	99	17	1492	7655	8200	17641	5738	2301	12983	12	9959	213	810	1830	6585	3	11103	14199	24957	16515	529	3411	7166	1	0	49	12117	3892	8329	2372	6289	8173	220	12087	4863	0	6	0	10301	3226	7969	5652	5909	13738	39	0	8529	221	1	0	17624	10135	1459	3179	9189	10510	24	1163	0	4935	0	1135	0
Fungi;Ascomycota;Eurotiomycetes	1723	8	445	201	2691	18102	22908	42391	16651	16186	35729	65117	1026	74	0	61	13182	1671	22722	27557	17577	3612	15668	22402	2531	109	0	46	10621	2884	33180	12876	17196	33094	3327	26786	2243	1636	2022	16	5423	2589	100730	35676	91703	31741	27615	1790	34954	229	957	3782	22798	23	30611	13523	62231	22234	1144	18225	4110	1	2	70	2503	10422	17529	19974	46215	16786	383	25871	1688	4	26	0	3237	86529	5718	33462	21482	95136	172	0	8672	692	10	0	4627	26015	5267	15324	50801	18773	53	4456	0	10076	0	2284	0
Fungi;Ascomycota;Incertae sedis	48	0	0	3	70	750	178	141	125	28	477	407	18	0	0	1	94	88	157	251	540	102	948	216	590	0	0	1	167	93	450	249	141	227	79	552	55	3	0	0	43	114	858	399	150	178	710	0	177	3	22	49	272	0	536	222	600	702	24	109	54	0	0	2	137	78	373	124	1065	220	14	1665	44	0	0	0	55	1	129	171	120	704	0	0	88	7	0	0	117	105	36	436	173	285	1	36	0	185	0	31	0
Fungi;Ascomycota;Lecanoromycetes	18	0	0	0	37	11	28	1	913	0	1	0	8	0	0	0	2	5	0	10	6	21	0	22	9	0	0	0	0	0	5	0	5	3	1	87	4	0	0	0	1	6	0	811	0	5	4	0	16	0	3	81	0	0	1	49	26	6	0	11	172	0	0	0	8	0	4	7	0	0	0	9	1	0	0	0	15	1	0	0	61	0	0	0	0	0	0	0	9	18	0	0	1483	0	0	24	0	25	0	13	0
Fungi;Ascomycota;Leotiomycetes	73	0	5	1	48	182	117	123	457	165	394	108	22	1	0	0	133	234	500	29	503	26	1157	0	463	1	0	3	138	90	555	3	71	347	53	1125	112	0	5	0	35	137	412	161	6	18	659	2	190	4	38	17	245	0	492	200	1401	296	19	181	911	0	0	1	1707	214	239	47	201	307	5	368	74	0	2	0	207	191	14	582	66	515	3	0	43	3	0	0	616	255	0	35	12	690	0	19	0	111	0	34	0
Fungi;Ascomycota;Orbiliomycetes	682	0	1	0	44	505	94	1	3	4	1	193	45	5	0	0	11	15	5109	33	4	28	13	19	53	0	0	0	67	446	1037	0	7	42	13	0	118	0	0	1	18	192	4847	5	1	2	54	0	462	0	0	0	386	0	54	170	425	0	10	33	413	0	0	0	120	9	87	78	4	1	10	3	10	0	0	0	378	2	322	13	4	104	0	0	6	0	0	0	228	43	0	1	1402	0	0	5	0	68	0	21	0
Fungi;Ascomycota;Pezizomycetes	97	0	0	0	14360	1713	264	415	4	9	0	0	218	0	0	0	807	830	11	5	2175	20	107	85	75	0	0	112	278	54	905	33	39	198	4	2	182	9	1	0	29	737	5	315	425	0	102	0	83	15	0	26	16	0	48	614	1	30	7	3	239	0	0	0	125	151	38	288	13	26	38	64	339	0	0	0	208	75	30	4	56	17	1	0	350	1	0	0	12498	1453	2	22	13	711	0	14	0	227	0	262	0
