Phylum	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;?	17092	1	14	15	11719	31314	6298	49644	2082	2402	1425	1554	5265	612	0	15	40035	7803	5994	19131	2063	2171	4362	2017	15151	64	7	387	12500	16569	5656	2948	2649	6704	234	4305	10117	61	17	80	5669	13419	4127	8905	3453	2665	3802	10	24466	187	206	1030	13577	3	6224	7683	8543	10039	2567	1401	26205	0	0	19	14652	3403	41590	5998	978	5903	549	4498	3124	0	5	0	15602	586	55212	24846	1925	2372	21	0	7465	37	0	0	38944	9264	883	1895	17270	3202	20	1092	0	5862	0	1124	0
Fungi;Ascomycota	52344	13	793	451	39766	76789	77401	128850	66277	29956	106106	105282	27395	437	0	95	44170	38406	97712	81190	108608	25059	84397	54873	49673	2013	18	874	46594	30621	171453	54006	282541	63863	90241	112566	83397	2969	2437	127	28643	80987	185332	138682	167986	59380	107952	1891	134783	1863	3928	15101	110262	45	110531	123057	153465	95321	7765	51116	55223	21	7	311	41871	52041	119937	36559	94721	69771	1555	109989	19547	5	86	1	37660	101923	31419	102413	100445	175098	291	0	70141	2077	21	0	96888	77320	103192	85306	106125	103691	158	14469	0	40238	0	10230	0
Fungi;Basidiomycota	208856	6	128	347	113637	211998	86518	151582	125552	34632	18906	12209	47019	822	0	62	131321	313773	61881	269028	85467	83158	35108	68465	175850	1084	81	2208	74277	178319	243267	220273	126810	5140	309044	48040	275439	1642	2863	760	46235	237407	43393	79628	83668	5285	28965	783	205655	5556	1810	9744	111070	43	154042	185693	97467	5551	9083	53292	185422	72	8	14	138709	72919	138400	45713	43844	12995	3700	36753	300859	3	123	0	323855	113759	61927	44097	5579	16010	175881	0	232277	389	3	1	262441	157570	1488	14688	70386	37503	128	12616	0	48284	0	8581	0
Fungi;Chytridiomycota	244	0	8	12	261	594	2802	954	2958	299	2927	506	314	10	0	2	466	701	832	10821	3344	658	963	405	769	28	0	12	268	832	1487	498	2585	186	74	1231	1103	17	1	2	335	360	980	2019	777	745	919	2	932	17	51	254	1122	0	493	2565	1716	491	107	118	648	0	0	1	201	1903	1361	308	1814	1607	6	667	261	0	0	0	252	26	608	1164	224	1398	10	0	320	54	0	0	1138	948	377	661	482	1046	8	217	0	431	0	81	0
Fungi;Glomeromycota	796	0	0	2	114	4488	125	1755	268	5	0	0	100	0	0	0	3162	183	157	4	7	20	0	1	1150	0	1	4	352	418	3661	399	43	1	7	26	1240	0	3	0	68	966	8360	3113	13	0	4	0	4774	34	6	333	302	0	2514	1505	2471	0	56	0	1654	0	0	0	703	5	811	223	26	3	80	1	229	0	3	1	410	152	86	33	12	11	0	0	1106	0	0	0	681	252	3	14	28	0	2	26	0	281	0	65	0
Fungi;Incertae sedis	76	0	0	0	2	9	1	1	0	0	0	0	0	0	0	0	10	8	8	0	1	0	12	0	169	0	0	0	0	1	42	0	0	0	1	27	14	3	0	0	0	1	9	0	177	0	0	0	64	0	1	0	0	0	1	6	2	1	0	0	4	0	0	0	485	5	2	3	1	0	1	28	7	0	0	0	0	1	0	0	0	0	0	0	21	0	0	0	0	17	0	0	0	6	0	4	0	10	0	3	0
Fungi;Rozellomycota	0	0	0	0	0	28	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	5	0	0	0	0	1	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	6	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	0
Fungi;Zygomycota	111	0	5	0	2523	32	2136	1176	235	17	88	935	73	4	0	0	241	163	243	566	87	242	766	183	410	0	0	4	84	76	2079	637	122	54	19	864	423	0	2	0	23	21	263	566	6	0	128	2	197	51	33	48	372	0	903	1131	416	62	62	31	87	0	0	0	1231	77	1138	348	69	90	0	777	91	0	1	0	411	110	246	726	339	1131	2	0	1872	0	0	0	201	320	28	412	152	350	2	67	0	196	0	57	0
Fungi;unidentified	153	0	1	3	14	296	2893	1570	173	655	156	151	70	10	0	0	1380	321	1577	220	605	672	3569	52	515	14	0	2	989	361	1077	59	1150	73	74	263	129	14	0	0	2276	102	1022	1346	746	40	345	2	1044	2	11	149	608	0	2577	1067	861	671	443	63	165	0	0	2	3564	712	6791	179	729	268	8	218	958	0	0	0	248	40	473	603	102	411	0	0	124	4	0	0	317	385	69	635	140	1439	3	225	0	622	0	138	0
Protista;?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
