Qual	#Filtered	#RawReads
23	0	1
24	0	3
25	2	3
26	1	2
27	3	3
28	3	3
29	2	3
30	5	6
31	1	1
32	0	1
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	33
46	0	84
47	0	258
48	0	1019
49	0	2195
50	1	4682
51	415	13108
52	7540	50803
53	37542	145059
54	96992	280094
55	184572	432728
56	312648	616369
57	498079	854558
58	788828	1208197
59	1187682	1678430
60	1600543	2156234
61	2054606	2645635
62	2601548	3162775
63	3069538	3461620
64	2905276	3148913
65	728045	833227
66	1377	21675
67	0	20
