Species	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;?;?;?;?;?;?	17092	1	14	15	11719	31314	6298	49644	2082	2402	1425	1554	5265	612	0	15	40035	7803	5994	19131	2063	2171	4362	2017	15151	64	7	387	12500	16569	5656	2948	2649	6704	234	4305	10117	61	17	80	5669	13419	4127	8905	3453	2665	3802	10	24466	187	206	1030	13577	3	6224	7683	8543	10039	2567	1401	26205	0	0	19	14652	3403	41590	5998	978	5903	549	4498	3124	0	5	0	15602	586	55212	24846	1925	2372	21	0	7465	37	0	0	38944	9264	883	1895	17270	3202	20	1092	0	5862	0	1124	0
Fungi;Ascomycota;?;?;?;?;?	2853	0	49	34	1897	18496	6407	30202	1782	4374	4032	1322	8920	103	0	5	5984	5045	11023	5777	6380	2458	10324	1401	16368	54	6	94	13578	6305	18879	4633	8791	3794	750	8928	51391	242	73	29	4205	54220	11968	28731	13120	7337	8147	14	62291	346	353	2967	12433	1	17275	13930	14079	16840	755	7473	8780	1	1	63	10223	9088	11218	4741	3900	10754	399	6739	2943	0	14	0	6581	2616	7907	31245	5231	8981	23	0	14401	78	2	0	13373	11515	4315	3044	14271	8288	26	1399	0	6645	0	1472	0
Fungi;Ascomycota;Archaeorhizomycetes;?;?;?;?	15	0	0	0	156	1115	0	1	32	1	0	1	107	0	0	0	13	1	1	2	15	0	1	0	3	0	0	0	0	2	2	0	1	1224	2	5	1	0	0	0	10	2	0	1	8	861	5	0	2	0	0	0	19	0	5	3385	1	2497	0	2	4	0	0	7	0	6	0	12	1	540	29	2	0	0	0	0	0	0	18	2	1945	1	0	0	0	0	0	0	0	4	1	1	4971	730	0	91	0	25	0	214	0
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;?;?;?	6	0	0	2	2	14	0	0	3	39	747	0	2	11	0	3	1	0	1	1706	1	2	0	0	0	0	0	1	15	2	702	2	0	1	2	0	1	0	0	0	20	119	26	910	0	1	232	0	596	3	0	73	13	0	279	1	3	1	0	0	17	0	0	0	1	3	11	244	602	298	1	0	0	0	0	0	0	2	602	130	3	1	0	0	47	11	0	0	1	3	0	0	33	1	1	25	0	16	0	48	0
Fungi;Ascomycota;Dothideomycetes;?;?;?;?	6777	0	27	16	2066	6526	1999	14927	491	266	2819	1421	1115	52	0	0	4256	6451	2755	22284	8663	1108	9871	1174	4307	19	1	70	1566	2215	7951	2817	2932	1873	488	6622	4477	29	25	4	536	2920	3163	7056	1242	1294	6422	3	5258	110	224	726	2039	1	4839	7268	10198	7643	167	758	4068	0	0	30	7371	2375	2561	1136	3161	2138	110	3331	2539	0	2	0	4324	669	4711	1720	3180	6361	12	0	3978	54	1	0	8123	1196	973	1083	3247	2938	8	538	0	2226	0	504	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;?;?;?	6	0	2	0	0	13	0	1	1	0	73	0	2	0	0	0	4	14	22	0	58	0	202	0	2	0	0	0	88	34	97	9	7	0	15	0	0	0	0	0	10	15	1	91	0	1	97	0	4	0	0	4	50	0	2	21	65	83	0	0	2	0	0	0	2	6	5	0	190	0	1	1	2	0	0	0	2	0	1	47	4	286	0	0	0	2	0	0	22	5	0	6	30	42	0	8	0	13	0	2	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Aplosporellaceae;Aplosporella;?	15	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	13	0	0	35	0	0	0	2	0	73	0	1	0	0	0	28	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	28	0	0	0	4	0	0	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Dothiorella;Dothiorella dulcispinae	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	25	0	0	0	0	2	0	0	1	0	26	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	3	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Endomelanconiopsis;Endomelanconiopsis microspora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Lasiodiplodia;Lasiodiplodia crassispora	169	0	1	0	0	474	62	101	3	0	104	1212	6	0	0	0	61	115	155	47	35	19	4	405	212	0	0	2	0	216	41	8	2	0	0	2	125	0	0	0	6	93	62	0	1	16	0	0	72	0	0	2	168	0	7	178	1	0	0	7	18	0	0	0	548	13	30	4	3	1	12	0	41	0	0	0	3	1	0	1	0	78	0	0	3	0	0	0	196	60	0	80	0	15	0	11	0	35	0	6	0
