pattern,replacement,reason
c__unidentified;o__unidentified;f__unidentified;g__Hariotina;s__Hariotina_reticulata,c__Chlorophyceae;o__Sphaeropleales;f__Scenedesmaceae;g__Hariotina;s__Hariotina_reticulata,
g__(Acutodesmus|Micractinium);s__Chlorella_sorokiniana,g__$1;s__$1_sp,
f__Fabaceae;g__Adesmia;,f__Fabaceae;g__Adesmia(plant);,
f__Tenebrionidae;g__Adesmia;,f__Tenebrionidae;g__Adesmia(animal);,
f__Alariaceae;g__Alaria;,f__Alariaceae;g__Alaria(alga);,
f__Diplostomidae;g__Alaria;,f__Diplostomidae;g__Alaria(animal);,
f__Pyronemataceae;g__Aleurina;,f__Pyronemataceae;g__Aleurina(fungus);,
f__Ascaridiidae;g__Ascaridia;,f__Ascaridiidae;g__Ascaridia(animal);,
f__Mycetophilidae;g__Brachypeza;,f__Mycetophilidae;g__Brachypeza(animal);,
f__Orchidaceae;g__Brachypeza;,f__Orchidaceae;g__Brachypeza(plant);,
g__Cactodera;s__Heterodera_hordecalis,g__Cactodera;s__Cactodera_sp,
f__Cenangiaceae;g__Cenangiopsis;,f__Helotiaceae;g__Cenangiopsis;,
f__Gigartinaceae;g__Chondrus;,f__Gigartinaceae;g__Chondrus(alga);,
f__Enidae;g__Chondrus;,f__Enidae;g__Chondrus(animal);,
f__Clusiidae;g__Clusia;,f__Clusiidae;g__Clusia(animal);,
f__Clusiaceae;g__Clusia;,f__Clusiaceae;g__Clusia(plant);,
f__Linyphiidae;g__Collinsia;,f__Linyphiidae;g__Collinsia(animal);,
f__Plantaginaceae;g__Collinsia;,f__Plantaginaceae;g__Collinsia(plant);,
f__Brassicaceae;g__Crambe;,f__Brassicaceae;g__Crambe(plant);,
f__Crambeidae;g__Crambe;,f__Crambeidae;g__Crambe(animal);,
c__Trebouxiophyceae;o__Chlorellales;f__Ctenocladaceae;g__Ctenocladus;s__Hariotina_reticulata,c__Chlorophyceae;o__Sphaeropleales;f__Scenedesmaceae;g__Hariotina;s__Hariotina_reticulata,
f__Gesneriaceae;g__Drymonia;,f__Gesneriaceae;g__Drymonia(plant);,
f__Notodontidae;g__Drymonia;,f__Notodontidae;g__Drymonia(animal);,
f__Teloschistaceae;g__Dufourea;,f__Teloschistaceae;g__Dufourea(fungus);,
f__Halictidae;g__Dufourea;,f__Halictidae;g__Dufourea(animal);,
f__Teloschistaceae;g__Dufourea;,f__Teloschistaceae;g__Dufourea(fungus);,
g__Echinostoma;s__Isthmiophora_melis,g__Isthmiophora;s__Isthmiophora_melis,
f__Eulophidae;g__Grahamia;,f__Eulophidae;g__Grahamia(animal);,
f__Anacampserotaceae;g__Grahamia;,f__Anacampserotaceae;g__Grahamia(plant);,
g__Heterorhabditis;s__Ascaridia_galli,g__Heterorhabditis;,
f__Orchidaceae;g__Laelia;,f__Orchidaceae;g__Laelia(plant);,
f__Erebidae;g__Laelia;,f__Erebidae;g__Laelia(animal);,
f__Chlorellaceae;g__Micractinium;,f__Chlorellaceae;g__Micractinium(plant);,
f__Notodontidae;g__Paradrymonia;,f__Notodontidae;g__Paradrymonia(animal);,
f__Gesneriaceae;g__Paradrymonia;,f__Gesneriaceae;g__Paradrymonia(plant);,
f__Extremaceae;g__Petrophila;,f__Extremaceae;g__Petrophila(fungus);,
f__Crambidae;g__Petrophila;,f__Crambidae;g__Petrophila(animal);,
